UPTIMENANO, Latitude, Longitude, speed, accuracy
404303856538515,35.58172476,139.4771478,18.47,20.0
404304843466856,35.58181113,139.47728525,18.07,24.0
404306877172417,35.58200313,139.47758258,18.0,19.0
404307826377379,35.582066,139.47770038,17.43,17.0
404308728687833,35.58216093,139.47784842,17.36,15.0
404309727009235,35.58218405,139.47799582,16.92,14.0
404310835846798,35.5822319,139.47812108,15.79,10.0
404311832077999,35.5822929,139.4783003,16.04,10.0
404312823299937,35.58232962,139.47842781,15.87,12.0
404313730001121,35.58235562,139.47854926,15.2,12.0
404314842593120,35.58243303,139.47871384,15.45,12.0
404315757446544,35.58251018,139.47890625,16.26,12.0
404316854317848,35.58255999,139.47904315,15.73,11.0
404317878651002,35.58264867,139.47926569,16.7,11.0
404318840132972,35.58268893,139.47937687,14.99,12.0
404319820628558,35.58270958,139.47950967,14.39,12.0
404320726473440,35.58272865,139.47962144,13.79,13.0
404321890642517,35.58275149,139.47969965,12.69,13.0
404323825502444,35.58281108,139.4798936,10.33,12.0
404324844896466,35.58282579,139.48000247,10.87,13.0
404326842042955,35.58286356,139.48021724,11.23,12.0
404327833529444,35.58289241,139.48033899,11.14,11.0
404328853966008,35.58290697,139.48046337,11.4,11.0
404330727808381,35.58295112,139.48070567,11.36,11.0
404331846402663,35.58298353,139.48080317,10.72,12.0
404332832244501,35.58300869,139.48090133,9.9,12.0
404333855177791,35.5830236,139.48096676,8.81,13.0
404334829921972,35.58304634,139.48106379,8.36,14.0
404336728900234,35.58306243,139.481185,6.95,17.0
404337731535126,35.58307979,139.48124604,6.74,20.0
404338729148194,35.58309199,139.48130237,6.13,19.0
404339728500272,35.58310297,139.48142912,5.67,16.0
404340840068004,35.58311322,139.48149463,5.43,16.0
404341770482367,35.58313336,139.48153435,3.92,15.0
404342727873035,35.58314706,139.48160953,2.65,14.0
404343826739228,35.58317299,139.48162063,1.99,13.0
404344845522985,35.58319105,139.48166834,1.63,13.0
404345875584341,35.58319823,139.48169286,1.92,12.0
404346822236894,35.58319205,139.48169671,0.85,12.0
404347860462930,35.58319095,139.48170188,0.28,12.0
404348829463982,35.58319364,139.48170955,0.35,11.0
404349842576848,35.58320629,139.48174391,0.44,12.0
404351728207192,35.58321456,139.48176521,0.24,12.0
404352839773396,35.58321104,139.4817639,0.53,12.0
404353827264335,35.58320602,139.4817599,0.22,12.0
404354871164319,35.5832094,139.48176349,0.45,12.0
404356728947785,35.58321854,139.48177715,0.64,11.0
404357818360746,35.58322233,139.4817879,0.57,12.0
404358828027883,35.58322695,139.48179068,0.23,12.0
404359855699442,35.58325714,139.48178866,0.81,12.0
404361868239139,35.58328407,139.48179103,0.66,12.0
404362819020604,35.58329198,139.48179301,0.82,12.0
404363730892153,35.58330039,139.48179023,0.45,12.0
404364854544708,35.58330347,139.4817897,0.24,12.0
404366816202924,35.58332812,139.48178028,0.3,11.0
404367842175796,35.5833319,139.4817787,0.43,11.0
404368822308046,35.58333761,139.48177601,0.0,12.0
404369829207417,35.58334086,139.48177229,0.0,12.0
404370829948517,35.58334363,139.48176766,0.0,12.0
404371870402947,35.58334435,139.4817651,0.0,12.0
404372829134658,35.58334417,139.48176147,0.0,12.0
404373847995130,35.58334323,139.48176041,0.0,13.0
404374841358359,35.58334301,139.48175967,0.0,13.0
404375797758350,35.58334098,139.48175557,0.0,14.0
404376727859952,35.58334669,139.48176125,0.0,14.0
404377880970024,35.58334568,139.48176,0.0,14.0
